UNITID,Instruction,Research and Public Service,"Academic and Institutional Support, and Student Services",Total Expenses,Year
100654,17077455,19163495,27887245,82480516,2001
100663,173492320,288963668,105766570,628941868,2001
100706,29301748,38208224,18406615,106401944,2001
100724,20618397,3833320,23240186,70326197,2001
100733,0,0,7070039,8362911,2001
100751,114105970,65459066,67285517,303019128,2001
100760,5592558,126558,2817486,13026770,2001
100812,7585729,2004,4931707,17208155,2001
100830,18485195,10615021,12104302,49884127,2001
100858,125378565,141871617,64084745,439692529,2001
100919,3895734,0,2816504,9646847,2001
100973,577625,0,1503902,2345019,2001
101028,2431658,0,2559591,8602867,2001
101107,2601345,0,1291279,5674568,2001
101143,3544132,0,3545511,10059329,2001
101161,5723008,0,4680287,16963846,2001
101240,12087636,530537,8948139,30095992,2001
101286,12011403,36205,7589724,27215602,2001
101295,9321318,0,4825634,23992045,2001
101301,5081968,6212,2284687,11309387,2001
101347,2760560,266250,2730093,8168719,2001
101462,1875162,0,2531984,5335921,2001
101471,4526639,0,5259610,12176401,2001
101480,25650503,3114935,17836434,64512039,2001
101499,3942515,0,2824506,11205229,2001
101505,9543780,2350970,10133285,28520729,2001
101514,13831500,641972,8328191,33354210,2001
101523,3550299,0,2601697,7797403,2001
101569,4890576,99072,5490749,16570874,2001
101587,6869298,106955,6896671,18464654,2001
101602,2288181,0,1582729,6323881,2001
101709,11065036,522944,10102906,29669202,2001
101736,8812095,1365922,5872521,23467316,2001
101879,17531966,1823467,13743489,43587723,2001
101897,2862662,0,2092757,8167390,2001
101949,4160829,0,4464737,13321364,2001
101994,2646887,0,1820140,6009556,2001
102030,11848402,236285,7341334,31988701,2001
102067,8351938,0,7880248,33430824,2001
102076,2893889,63324,2331049,8662638,2001
102094,73802658,35485261,42354274,185370147,2001
102313,3169685,8616,4511906,9308877,2001
102322,5239362,2541,3388664,14024163,2001
102359,5070866,558446,5524972,15745941,2001
102368,29045952,5089641,25022752,81894233,2001
102429,10710857,405270,7263711,30381624,2001
102553,57727442,15132562,36745866,126591832,2001
102614,43600135,96456181,38654136,212395491,2001
102632,11325753,1567331,8498040,25261403,2001
102711,2573406,74886,1288817,5147162,2001
103361,1814805,255222,993622,3606001,2001
103529,949869,62524,25870751,29757626,2001
104151,230901000,103335000,173715000,643989000,2001
104160,11537179,184814,8751003,28786580,2001
104179,272946143,289679833,152718562,873243053,2001
104346,11977077,95900,9360320,29571477,2001
104425,11620327,432153,7301762,26270508,2001
104577,8263627,0,5719235,22459975,2001
104708,28059799,648867,11761988,50756135,2001
105136,946096,2619881,28046752,38032600,2001
105145,13932785,16416,8596879,29516831,2001
105154,37407673,2328268,17921935,70948354,2001
105206,5354677,0,7323518,15962892,2001
105297,4740892,1132109,5558766,15384186,2001
105330,87053375,27409095,65341178,230834844,2001
105349,6250754,184983,6592097,18553204,2001
105428,19851831,368091,10872936,40881780,2001
105525,47426661,0,45655269,115982986,2001
105668,17959479,4665700,10481724,38410959,2001
105747,17387562,548148,9048520,33713007,2001
105792,5570721,446565,6138783,15856131,2001
106148,10667904,130923,11562913,28041561,2001
106245,37408006,22775939,30458125,111237676,2001
106263,105953375,52605458,41699981,245712064,2001
106397,89428500,130437938,53988726,346033000,2001
106412,11468761,8478681,19482832,52997050,2001
106449,7375268,0,5838862,17761809,2001
106458,36401597,7259308,29185596,107939797,2001
106467,15463649,598588,10231954,43566780,2001
106476,21733017,0,1766069,24480603,2001
106485,9213124,447054,5459478,22940189,2001
106625,3766950,296703,2108312,9054352,2001
106704,34684446,1758358,14728478,82604376,2001
106795,3862403,11305,1229207,6427049,2001
106801,2614710,0,574631,3902882,2001
106829,2278238,0,1103310,4178857,2001
106883,3095110,423749,3044027,8731622,2001
106935,3588664,0,218096,4499250,2001
106944,820457,0,768454,1871230,2001
106980,4980442,223531,3779353,11668049,2001
106999,2385801,0,2091807,7056229,2001
107017,1543753,0,472413,2547055,2001
107071,13484584,354198,7207450,32255433,2001
107318,2740294,693717,2440354,8178110,2001
107327,4396463,610679,4211208,12718302,2001
107460,5657292,248,5125177,14359830,2001
107488,2600261,0,1402109,4786823,2001
107521,2752143,0,1626765,5841331,2001
107549,1948431,593313,1681029,5885741,2001
107585,2993887,0,1785754,8116955,2001
107619,6276195,661547,4776891,17018502,2001
107637,3634383,0,1769400,8482886,2001
107664,6412793,0,4506478,17104824,2001
107673,2219313,0,1014576,3900939,2001
107725,3134220,341105,2739011,9190373,2001
107743,1436050,497911,1855260,5151667,2001
107974,4648103,243265,2884657,9691619,2001
107983,10309410,788921,6846364,28756517,2001
107992,3834944,118796,3263445,9350913,2001
108056,0,0,3710300,4216269,2001
108092,11655398,93353,10712951,30471193,2001
108807,24717091,723656,21687852,59793500,2001
109350,18644828,915477,11069072,39457875,2001
109819,39305975,338947,46420044,116935864,2001
109907,4042920,425401,4821502,11848545,2001
110246,24508021,896689,23937650,70649252,2001
110334,24108634,859035,19732140,53823107,2001
110398,11587189,160736,12268404,30770427,2001
110422,90506854,17347517,88078225,239818017,2001
110486,33603736,101163,28551194,82397108,2001
110495,28310142,2990967,31699785,84733519,2001
110501,3620485,0,128625200,231246588,2001
110510,69234110,4795672,46372983,153593993,2001
110529,95867625,3317144,85276583,214431583,2001
110538,74937515,18062021,65687958,199983110,2001
110547,41461256,4297481,48102930,121535498,2001
110556,92750000,14918000,60272000,226335000,2001
110565,95393800,9636022,85899342,250481229,2001
110574,64662706,3689824,55227914,163046413,2001
110583,140966118,15851000,113750548,338281746,2001
110592,76012124,2078842,67903113,196374073,2001
110608,110395372,4673397,114138389,344083971,2001
110617,104583267,46566985,73967080,277879634,2001
110635,399971000,378971000,279456000,1308530000,2001
110644,346246000,342820000,217286000,1135078000,2001
110653,286744000,147135000,153684000,715231000,2001
110662,726198000,482612000,398305000,1872383000,2001
110671,102929000,77411000,80633000,339982000,2001
110680,284386000,420877000,260802000,1120938000,2001
110699,143599000,424560000,258820000,1161865000,2001
110705,149320000,97236000,108818000,443611000,2001
110714,102394000,66918000,81101000,309277000,2001
111188,6260755,0,12651490,20983774,2001
111434,8222454,52206,6248987,15744192,2001
111461,18753287,828172,14404036,42721555,2001
111887,41280700,1076551,27321802,89770888,2001
111920,22534305,704950,11190638,43473493,2001
111939,23764471,603620,22390621,57256150,2001
112172,22789841,797048,23133143,61756000,2001
112190,106262607,1047532,94952917,229906659,2001
112367,671041,0,337564,1298339,2001
112376,71097280,0,64702898,181115350,2001
112686,9961197,204580,21836763,41221284,2001
